Address,Owner Name,Owner Company Name,Owner Phone,Owner email,Business Name,Business Phone,Business Email,Property Type
"95-10 Ditmars Boulevard, Queens, New York, 11369",Not Found,Not Found,Not Found,Not Found,National Car Rental,(718) 429-5893,Not Found,Automobile Dealership
"1800 Shore Pkwy, Brooklyn, New York, 11214",Will Berardino,Mercedes-Benz of Brooklyn,(718) 258-5100,Not Found,Mercedes-Benz of Brooklyn,(929) 684-1005,[email protected],Automobile Dealership
"40-40 Northern Boulevard, Queens, New York, 11101",Not Found,Not Found,Not Found,Not Found,Lexus of Queens,(347) 394-4566,Not Found,Automobile Dealership
"69-10 34 Avenue, Queens Borough, New York, 11377",34TH AVENUE WOODSIDE ACQUISITION II LLC,Not Found,Not Found,Not Found,Lucky Strike Queens,(718) 651-0440,Not Found,Bowling Alley
"1600 Hylan Boulevard, Staten Island, New York, 10305",Rab Wilkinson,Rab and Dee Bowling Inc.,(718) 979-1600,info@bowlatrabs.com,Rab's Country Lanes,(718) 979-1600,info@bowlatrabs.com,Bowling Alley
"2417 HOLLERS AVENUE, Bronx, New York, 10475",Constantine Monzidelis,2417 Hollers Avenue Realty LLC,Not Found,Not Found,Bowlerland,718-994-8700,Not Found,Bowling Alley
"1121 Bedford Ave, Brooklyn, New York, 11216",Not Found,Not Found,Not Found,Not Found,Bedford-Stuyvesant Branch YMCA,718-789-1497,Not Found,Fitness Center / Health Club / Gym
"330 E 61ST ST NEW YORK NY, NEW YORK, New York, 10065",Not Found,Not Found,Not Found,Not Found,Equinox East 61st Street,(212) 355-5100,arthur.donowski@equinox.com,Fitness Center / Health Club / Gym
"505 West 218th Street, New York, New York, 10034",Columbia University,Columbia University,Not Found,Not Found,Campbell Sports Center,(212) 304-0162,Not Found,Fitness Center / Health Club / Gym
"28-56 Steinway St, Queens, New York, 11103",2856 ASTORIA LLC,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Fitness Center / Health Club / Gym
"207 Beach 73rd St, Averne, New York, 11692",Arverne Community Center Corp,Not Found,Not Found,Not Found,Rockaway YMCA,718-215-6950,Not Found,Fitness Center / Health Club / Gym
"897 BROADWAY NEW YORK, NEW YORK, New York, 10003","Equinox-76th Street, Inc.",Equinox Fitness Club,(212) 780-9300,Not Found,Equinox Flatiron,(212) 780-9300,Not Found,Fitness Center / Health Club / Gym
"363 West 16th Street, New York, New York, 10011",Not Found,Not Found,Not Found,Not Found,The Maritime Hotel,(212) 242-4300,Not Found,Hotel
"848 Washington Street, Manhattan, New York, 10014",Gaw Capital,GC SHL LLC,Not Found,Not Found,"The Standard, High Line",212-645-4646,[email protected],Hotel
"147 W 43rd St, New York, New York, 10036",Patricia Hamilton,Not Found,Not Found,Not Found,Casablanca Hotel,(212) 869-1212,info@casablancahotel.com,Hotel
"212 East 42nd Street, New York, New York, 10017",Davidson Kempner Capital Management,Not Found,Not Found,Not Found,The Westin New York Grand Central,212-490-8900,Not Found,Hotel
"1535 Broadway, New York, New York, 10036",Vornado Realty Trust,Vornado Realty Trust,212-894-7000,Not Found,New York Marriott Marquis,212-398-1900,Not Found,Hotel
"130 West 44th Street, Manhattan, New York, 10036",Ben-Josef Group Holdings,Not Found,Not Found,Not Found,"The Chatwal, New York",+1 (212) 764-6200,concierge@thechatwalny.com,Hotel
"377 Greenwich Street, New York, New York, 10013",Robert De Niro,The Greenwich Hotel,212-941-8900,frontdesk@thegreenwichhotel.com,The Greenwich Hotel,212-941-8900,frontdesk@thegreenwichhotel.com,Hotel
"40 West 40th Street, New York, New York, 10001","Koi Ny, LLC",Not Found,Not Found,Not Found,The Bryant Park Hotel,Not Found,Not Found,Hotel
"377 Greenwich St, New York, New York, 10013",Robert De Niro,377 Greenwich LLC,212-941-8900,frontdesk@thegreenwichhotel.com,The Greenwich Hotel,212-941-8900,frontdesk@thegreenwichhotel.com,Hotel
"335 Bowery, New York, New York, 10003",Sean MacPherson,The Bowery Hotel LLC,212-505-9100,Not Found,The Bowery Hotel,212-505-9100,reservations@bohonyc.com,Hotel
"308 West 58th Street, New York, New York, 10019",Jack Rosen,308 Hotel Corp.,212-445-0200,Not Found,Westpark Hotel,212-246-6440,Not Found,Hotel
"29 9th Avenue, New York, New York, 10014",Soho House New York,Soho House New York,212-627-9800,[email protected],Soho House New York,212-627-9800,[email protected],Hotel
